,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
0,0,1.0,380000,35056,1,0.0,2015,4.0
1,0,1.0,465000,44000,1,0.0,2016,1.0
2,0,1.0,1350000,42917,1,0.0,2018,2.0
3,0,1.0,1019699,16112,1,2.0,2019,2.0
4,0,1.0,713499,30988,1,2.0,2017,3.0
5,0,1.0,391099,69163,2,2.0,2013,2.0
6,0,1.0,474299,42859,1,2.0,2015,1.0
7,0,1.0,1252999,34919,1,1.0,2017,8.0
8,0,1.0,393699,44940,1,0.0,2013,3.0
9,0,1.0,730899,13687,1,1.0,2017,2.0
10,0,1.0,343099,29848,1,2.0,2018,1.0
11,0,1.0,707599,21426,1,2.0,2018,3.0
12,0,1.0,688899,68177,2,2.0,2016,1.0
13,0,1.0,1421599,70650,2,1.0,2017,11.0
14,0,1.0,399999,25730,1,2.0,2017,1.0
15,0,1.0,1473299,47096,1,2.0,2019,12.0
16,1,1.0,1025000,131000,2,0.0,2012,8.0
17,1,1.0,735000,26000,1,0.0,2016,2.0
18,1,1.0,600000,58460,2,1.0,2019,2.0
19,1,1.0,800000,48000,1,1.0,2020,12.0
20,1,7.0,700000,26600,1,0.0,2017,1.0
21,1,38.0,820000,36000,1,0.0,2019,4.0
22,1,1.0,195000,39500,1,0.0,2014,5.0
23,1,1.0,1850000,76000,2,0.0,2011,16.0
24,0,1.0,807499,23698,1,1.0,2017,4.0
25,0,1.0,522999,37860,1,2.0,2016,2.0
26,0,1.0,474299,91830,1,2.0,2015,1.0
27,0,1.0,740899,31172,1,2.0,2019,2.0
28,0,1.0,1141999,3243,1,2.0,2021,8.0
29,0,1.0,971299,9616,1,2.0,2020,5.0
30,0,1.0,640999,30249,1,2.0,2017,1.0
31,0,1.0,676199,60875,1,2.0,2019,1.0
32,0,1.0,562399,25740,1,2.0,2017,1.0
33,0,1.0,580899,38587,1,2.0,2014,4.0
34,0,1.0,770999,3108,1,2.0,2021,6.0
35,0,1.0,531399,35353,1,2.0,2016,3.0
36,0,1.0,367299,34748,1,2.0,2017,2.0
37,0,1.0,412199,2359,1,2.0,2020,1.0
38,0,1.0,1460099,17814,2,2.0,2020,2.0
39,0,1.0,618699,68934,1,2.0,2018,1.0
40,1,1.0,485000,72600,1,2.0,2014,2.0
41,1,1.0,890000,81000,2,0.0,2010,13.0
42,1,1.0,245000,80000,2,1.0,2012,15.0
43,1,1.0,945000,12000,1,0.0,2020,8.0
44,1,1.0,590000,6000,1,0.0,2016,1.0
45,1,1.0,495000,56000,1,0.0,2017,3.0
46,1,1.0,475000,56000,1,0.0,2017,1.0
47,1,1.0,1200000,36000,2,1.0,2020,9.0
48,0,1.0,490199,15840,1,2.0,2017,1.0
49,0,1.0,618699,68934,1,2.0,2018,1.0
50,0,1.0,920999,32482,2,2.0,2017,1.0
51,0,1.0,554399,113779,2,2.0,2014,3.0
52,0,1.0,408999,26150,1,2.0,2017,1.0
53,0,1.0,1248299,34555,2,2.0,2018,7.0
54,0,1.0,636099,30880,1,1.0,2018,1.0
55,0,1.0,452699,70423,1,1.0,2013,2.0
56,0,1.0,704399,30232,2,2.0,2018,2.0
57,0,1.0,553599,50077,1,2.0,2016,10.0
58,0,1.0,999599,18482,2,2.0,2018,4.0
59,0,1.0,684699,10246,1,2.0,2018,1.0
